Sample	total_reads	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
bowtie.left_kept_reads	2933	2933	1865	1068	0	36.41
bowtie.left_kept_reads.m2g_um	1865	1865	1079	786	0	42.14
bowtie.left_kept_reads.m2g_um_seg1	1079	1079	964	21	94	10.66
bowtie.left_kept_reads.m2g_um_seg2	1079	1079	976	25	78	9.55
bowtie.left_kept_reads.m2g_um_seg3	1079	1079	983	22	74	8.9
bowtie.left_kept_reads.m2g_um_seg4	1079	1079	1056	6	17	2.13
bowtie.right_kept_reads	2933	2933	1872	1061	0	36.17
bowtie.right_kept_reads.m2g_um	1872	1872	1073	799	0	42.68
bowtie.right_kept_reads.m2g_um_seg1	1073	1073	962	23	88	10.34
bowtie.right_kept_reads.m2g_um_seg2	1073	1073	967	24	82	9.88
bowtie.right_kept_reads.m2g_um_seg3	1073	1073	966	22	85	9.97
bowtie.right_kept_reads.m2g_um_seg4	1073	1073	1057	10	6	1.49
